Code Name	Organisation Name	UPC Short Name	Organisation Type	Web URL	In Use	School Code	Institution Code	Placement Code	Sponsor Code	Department Code	User Defined Field 01	User Defined Field 02	User Defined Field 03	User Defined Field 04	User Defined Field 05	User Defined Field 06	User Defined Field 07	User Defined Field 08	User Defined Field 09	User Defined Field 10	User Defined Field 11	User Defined Field 12	User Defined Field 13	User Defined Field 14	User Defined Field 15	User Defined Field 16	User Defined Field 17	User Defined Field 18	User Defined Field 19	User Defined Field 20	Agent code	Level	Parent Organisation	Eng Primary Lang?	Status	Status start date	Status end date	Academic year style	Admissibility	Country code	Region code
156	Dundee & Angus College		HEI	"https://dundeeandangus.ac.uk/	"	Y						XH	STA-00156	RNS3~30/04/20																	Dundee & Angus College											
157	Fife College		HEI	"https://www.fife.ac.uk/	"	Y						XH	STA-00157	IMPORT~27/02/20																	Fife College											
158	Purdue University		HEI	"http://www.purdue.edu/	"	Y						US	IAU-013787	IMPORT~27/02/20																	Purdue University											
159	University of Virginia		HEI	"http://www.virginia.edu	"	Y						US	IAU-020614	IMPORT~27/02/20																	University of Virginia											
2	Aix-Marseille University		HEI	"http://www.univ-amu.fr	"	Y						FR	IAU-000217	IMPORT~27/02/20																	Aix-Marseille Université											
3	Hong Kong Baptist University		HEI	"http://www.hkbu.edu.hk	"	Y						HK	IAU-007557	IMPORT~27/02/20																	Hong Kong Baptist University											
4	Federal University of Minas Gerais		HEI	"http://www.ufmg.br	"	Y						BR	IAU-018638	IMPORT~27/02/20																	Universidade Federal de Minas Gerais											
5	St Andrews Preservation Trust		OTH	"https://standrewspreservationtrust.com/	"	Y						XH	STA-00005	IMPORT~27/02/20																	St Andrews Preservation Trust											
6	Scozia Ltd		OTH	"	"	Y						XH	STA-00006	IMPORT~27/02/20																	Scozia Ltd											
7	Georgia Institute of Technology		HEI	"http://www.gatech.edu	"	Y						US	IAU-006622	IMPORT~27/02/20																	Georgia Institute of Technology											
8	Swedish Defence University		HEI	"https://www.fhs.se/en/swedish-defence-university.html	"	Y						SE	STA-00008	IMPORT~27/02/20																	Försvarshögskolan											
